mae_rcwa_o5_pct,mae_rcwa_o7_pct,mae_surr_pct,n_box_edge,n_violations,orig_index,peak_shift_nm,pixel_nm,seed,smallest_feature_nm,status,structure,target_no,twice_R_out_over_P,violated_rules,true_P,true_R_disk,true_R_in,true_R_out,true_W2,true_Wx,true_Wy,true_d1,true_d2,true_d_SiO2,true_phi,true_t1,true_t2,true_t_Cr,true_t_mid,true_theta,committed_P,committed_R_disk,committed_R_in,committed_R_out,committed_W2,committed_Wx,committed_Wy,committed_d1,committed_d2,committed_d_SiO2,committed_phi,committed_t1,committed_t2,committed_t_Cr,committed_t_mid,committed_theta
4.654,,0.574,0,0,249,-8,6.8,123,12.8,confirmed,A,11,,,492.18,,,,106.65,58.06,330.85,155.45,44.08,,,47.62,53.6,,6.17,7.12,435.27,,,,111.34,151.8,243.15,140.67,53.14,,,52.7,34.7,,12.77,17.17
9.123,,0.394,0,0,25,-20,8.14,123,26.5,pretender,A,12,,,487.99,,,,144.99,439.19,257.31,41.43,38.65,,,13.47,22.48,,14.24,8.0,521.17,,,,232.73,294.0,238.57,59.43,42.66,,,54.24,57.52,,26.52,35.95
7.936,,0.746,0,1,37,+12,5.88,123,23.4,pretender,A,13,,Wy>0.9P,564.76,,,,370.3,508.18,150.91,150.1,80.18,,,41.28,32.53,,20.31,27.92,376.52,,,,138.04,122.92,421.66,178.44,46.74,,,45.57,68.04,,23.44,22.89
3.503,,0.255,1,1,481,-12,5.7,123,10.0,confirmed,A,14,,W2>0.9P,409.38,,,,368.44,175.76,368.44,68.9,91.68,,,20.01,23.8,,12.9,41.53,364.96,,,,482.93,167.34,317.05,53.65,126.98,,,70.59,10.0,,18.96,24.02
6.813,,2.633,2,0,246,+32,8.1,123,30.0,pretender,A,15,,,461.95,,,,57.79,265.89,415.76,180.63,105.93,,,37.09,45.01,,28.22,11.87,518.41,,,,50.0,325.86,219.87,162.74,114.64,,,44.95,38.32,,30.0,11.48
2.823,,0.235,1,0,43,-8,6.91,123,12.1,confirmed,A,16,,,358.95,,,,188.05,323.05,304.96,76.06,98.39,,,16.57,62.58,,19.72,15.89,442.25,,,,373.31,340.96,307.9,87.49,50.2,,,24.41,80.0,,12.09,42.0
8.077,,0.653,0,0,333,+36,8.82,123,25.7,pretender,A,17,,,491.81,,,,442.63,152.16,367.37,96.21,183.2,,,34.3,16.6,,27.16,14.41,564.37,,,,200.02,257.85,284.04,88.33,92.17,,,49.66,41.1,,25.71,26.81
9.617,,2.332,2,1,312,-24,5.97,123,12.6,pretender,A,18,,Wx>0.9P,463.01,,,,341.54,416.71,258.22,195.69,170.91,,,63.78,15.24,,24.74,41.92,381.98,,,,173.51,518.09,174.97,175.33,113.18,,,63.81,12.63,,25.66,24.72
3.174,,0.113,1,1,6,-32,5.14,123,30.0,confirmed,A,19,,Wy>0.9P,322.21,,,,289.99,289.19,253.21,46.63,60.59,,,43.5,42.96,,11.47,41.2,329.22,,,,218.0,166.86,299.99,84.56,109.35,,,73.74,33.69,,30.0,37.3
4.265,,0.061,4,3,413,+0,8.68,123,10.0,confirmed,A,20,,Wx>0.9P;Wy>0.9P;W2>0.9P,325.41,,,,264.52,292.87,292.87,68.42,45.08,,,70.64,41.62,,27.52,20.57,555.4,,,,529.77,527.33,524.21,179.08,68.89,,,58.42,10.0,,14.37,14.21
1.651,,0.105,0,3,190,+0,6.16,777,15.9,confirmed,A,1,,Wx>0.9P;Wy>0.9P;W2>0.9P,413.39,,,,257.4,372.05,372.05,49.19,195.64,,,48.59,71.12,,14.74,33.09,394.3,,,,499.95,425.71,369.61,185.68,66.23,,,59.21,35.43,,15.88,3.14
4.799,,0.638,2,1,381,+0,7.65,777,15.7,confirmed,A,2,,Wy>0.9P,482.79,,,,434.51,67.4,434.51,179.73,92.25,,,30.31,25.6,,13.38,40.33,489.45,,,,50.0,251.56,540.0,184.57,70.8,,,15.68,56.28,,21.66,42.67
